NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg
Kelan Martin,Bos,F,26.69,3,1.9,4,23.2,0,0,0,2,0,1,0,0,0,0,0.7,19,0,0,0,0,0,0,,
Garrison Mathews,Hou,G,25.46,65,26.3,54.9,14.4,7.1,180,0.794,75,0.6,386,0.36,0.55,0.602,10,2.9,6.1,1,5.3,0.88,0.37,0.63,4.7,119.8,111.2
Dakota Mathias,Mem,G,26.75,6,2.7,5.6,15.2,0,0,0,0,0,6,0.333,0.5,0.5,1,0.3,6.4,0.2,7.9,0.17,0,0,5.8,,
Dakota Mathias,Mem,G,26.75,6,2.7,5.6,15.2,0,0,0,0,0,6,0.333,0.5,0.5,1,0.3,6.4,0.2,7.9,0.17,0,0,5.8,,
Wesley Matthews,Mil,G,35.49,49,20.5,42.6,10.7,7.2,28,0.786,63,0.54,157,0.338,0.516,0.536,5.1,1.9,4.9,0.7,4.6,0.47,0.16,0.37,3.7,112.9,108.3
Tyrese Maxey,Phi,G,21.43,75,35.3,73.6,20.2,7.4,246,0.866,686,0.512,309,0.427,0.552,0.594,17.5,3.2,5.1,4.3,19.1,0.73,0.43,1.17,7,120.9,110.5
Skylar Mays,Atl,G,24.6,28,7.9,16.4,15.5,12.8,9,0.889,39,0.615,25,0.32,0.563,0.589,2.9,0.9,6.2,0.6,10.8,0.25,0,0.36,5.9,112.9,114.8
Miles McBride,Nyk,G,21.59,40,9.3,19.4,13.9,4.2,12,0.667,40,0.375,68,0.25,0.375,0.393,2.2,1,5.9,1,15.9,0.35,0.03,0.13,5.6,98.4,101.2
Mac McClung,Chi,G,23.26,1,2.6,5.4,33.9,50,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,1,0,,
Mac McClung,Lal,G,23.26,1,21.8,45.4,14.7,26.9,1,1,2,0.5,3,0.333,0.5,0.551,6,3,7.4,1,6,1,1,2,4.8,84,91.6
CJ McCollum,Por,G,30.56,36,35.2,73.3,26.2,9.2,68,0.706,376,0.476,289,0.384,0.52,0.532,20.5,4.3,6.6,4.5,22.4,0.97,0.58,1.94,8.3,107.2,115.9
CJ McCollum,Nor,G,30.56,26,33.8,70.4,29.4,9.5,102,0.667,319,0.549,180,0.394,0.564,0.58,24.3,4.5,7.3,5.8,31.3,1.35,0.04,2.19,10.2,116.2,111.1
T.J. McConnell,Ind,G,30.04,27,24.2,50.3,16.2,11.7,23,0.826,175,0.514,33,0.303,0.505,0.525,8.5,3.3,7.7,4.9,28.6,1.11,0.37,1.07,8.5,117.4,111.2
Jalen McDaniels,Cha,F-C,24.19,55,16.3,33.9,15.3,11.2,72,0.736,146,0.562,108,0.38,0.565,0.595,6.2,3.1,10.1,1.1,8.7,0.47,0.4,0.65,6.8,116.5,106.5
Jaden McDaniels,Min,F,21.53,70,25.8,53.7,15.3,11.4,71,0.803,302,0.579,252,0.317,0.532,0.553,9.2,4.2,8.7,1.1,6.1,0.74,0.77,1.07,5.4,108,103.9
Doug McDermott,San,F,30.27,51,24,50,18.3,8.1,51,0.784,209,0.512,256,0.422,0.578,0.593,11.3,2.3,4.9,1.3,7.3,0.27,0.12,0.84,5.4,112.2,112.4
JaVale McGee,Pho,C-F,34.23,74,15.8,33,22.8,15.8,146,0.699,449,0.637,9,0.222,0.631,0.651,9.2,6.7,22.7,0.6,5.4,0.3,1.09,1.32,8.4,119.7,91.3
Cameron McGriff,Por,F,24.53,3,15.3,31.9,14,0,2,1,8,0.375,6,0.333,0.429,0.47,4.7,5,17.9,1,9.4,0,0.33,0,7.5,124.7,104.4
Rodney McGruder,Det,G,30.7,51,14.8,30.8,14.9,9.2,26,0.731,80,0.5,146,0.397,0.562,0.575,5.4,2.2,8,0.9,9.6,0.41,0.14,0.47,6,115,110.9
Alfonzo McKinnie,Chi,F,29.56,17,12.1,25.3,15.3,9.8,8,0.25,34,0.441,27,0.333,0.467,0.457,3.5,1.9,9,0.3,3.2,0.12,0.18,0.41,4.2,95.6,105.7
JaQuori McLaughlin,Dal,G,24.2,4,2.7,5.7,8.3,0,0,0,1,0,1,0,0,0,0,0,0,0.5,22.5,0,0,0,0,,
Jordan McLaughlin,Min,G,26,62,14.5,30.3,11.8,14.9,40,0.75,115,0.53,85,0.318,0.508,0.535,3.8,1.5,5.6,2.9,26.1,0.92,0.16,0.61,7,121.8,110.3
Ben McLemore,Por,G,29.16,64,20.1,41.8,21.3,8.7,88,0.818,122,0.533,417,0.362,0.541,0.567,10.2,1.6,4.4,0.9,7.3,0.59,0.16,0.86,4.9,107.7,114.3
De'Anthony Melton,Mem,G,23.87,73,22.7,47.3,21.3,13,120,0.75,323,0.44,372,0.374,0.504,0.529,10.8,4.5,10.3,2.7,16.1,1.41,0.53,1.53,9,107.3,103.3
Sam Merrill,Mem,G,25.9,6,9.6,20.1,19.7,7.2,4,0.5,1,1,23,0.304,0.479,0.485,4.2,1.2,6.3,0.7,9.1,0,0,0.33,6.3,103.3,111.5
Chimezie Metu,Sac,F-C,25.06,60,21.3,44.4,18.5,11.1,91,0.78,263,0.555,186,0.306,0.516,0.546,8.9,5.6,14.2,1,6.9,0.85,0.53,1.02,6.9,103.8,107.6
Khris Middleton,Mil,F,30.66,66,32.4,67.6,26.7,14.2,291,0.89,587,0.494,434,0.373,0.522,0.577,20.1,5.4,8.8,5.4,25.5,1.15,0.27,2.88,10.3,112.5,106.6
CJ Miles,Bos,G,35.07,1,2,4.2,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
Paul Millsap,Bro,F,37.16,24,11.3,23.4,16.5,10.6,17,0.706,58,0.448,27,0.222,0.412,0.443,3.4,3.7,17.9,1,11.8,0.21,0.46,0.46,8.2,106.1,95.4
Paul Millsap,Phi,F,37.16,9,11.7,24.4,17.5,19.5,7,0.714,22,0.5,8,0.25,0.467,0.499,3.7,2.8,13.2,0.6,6.8,0.56,0.22,0.89,6.3,100.7,94.2
Patty Mills,Bro,G,33.66,81,29,60.3,16.4,8.2,59,0.814,227,0.427,568,0.4,0.55,0.562,11.4,1.9,3.6,2.3,10.6,0.62,0.21,0.9,5.1,111.8,115.1
Shake Milton,Phi,G-F,25.54,55,21.4,44.7,18.2,9.2,73,0.836,270,0.481,133,0.323,0.483,0.517,8.2,2.6,6.7,2.5,17.6,0.51,0.31,0.8,7,109.1,107.1
Davion Mitchell,Sac,G,23.6,75,27.7,57.7,20.6,11.5,85,0.659,523,0.48,320,0.316,0.477,0.489,11.5,2.2,4.3,4.2,22.5,0.73,0.32,1.52,6.8,101.2,113.7
Donovan Mitchell,Uta,G,25.59,67,33.8,70.5,33,11.7,313,0.853,722,0.533,654,0.355,0.533,0.572,25.9,4.2,6.8,5.3,27.7,1.48,0.18,2.99,9.8,114.1,106.2
Evan Mobley,Cle,C,20.81,69,33.8,70.4,20.4,12.3,252,0.663,738,0.541,92,0.25,0.522,0.549,15,8.3,13.5,2.5,11.6,0.81,1.67,1.91,8,109.2,104.9
Malik Monk,Lal,G,24.18,76,28.1,58.6,20.1,12.2,117,0.795,384,0.568,442,0.391,0.578,0.597,13.8,3.4,6.4,2.9,15.2,0.82,0.38,1.61,7.3,112.4,111.6
Greg Monroe,Min,F-C,31.85,4,20.4,42.4,16.4,21.8,7,0.429,22,0.591,0,0,0.591,0.578,7.3,6,15.7,4,27.9,1,1.5,1.75,11,114.8,101
