"NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"Simone Fontecchio","Uta","F","28.3","50","23.2","15.4","12.5","40","0.8","125","0.56","233","0.391","0.577","0.592","8.9","3.5","1.5","0.6","0.4","1","12.4","10.4","13.9","6.2","115.2","117.4"
"Kevin Love","Mia","F","35.6","55","16.8","21.9","11.8","108","0.787","115","0.643","244","0.344","0.557","0.597","8.8","6.1","2.1","0.3","0.2","0.9","15","10.9","17.1","11.5","120.8","99.8"
"Terance Mann","Lac","G-F","27.5","75","25","13.6","8.9","95","0.832","289","0.633","204","0.348","0.587","0.615","8.8","3.4","1.6","0.6","0.2","0.6","12.2","10.4","13.7","5.8","126.6","112.6"
"Ausar Thompson","Det","F","21.2","63","25.1","16.6","14.9","119","0.597","367","0.575","113","0.186","0.505","0.522","8.8","6.4","1.9","1.1","0.9","1.3","15.2","10.7","17.1","7.6","106.2","108.5"
"Dereck Lively II","Dal","C","20.2","55","23.5","12.6","14.4","81","0.506","294","0.752","2","0","0.747","0.728","8.8","6.9","1.1","0.7","1.4","0.9","15.7","9.9","16.7","6.9","137.9","105.5"
"Davis Bertans","Cha","F","31.4","28","20.8","17.7","7.5","18","0.889","32","0.5","176","0.375","0.553","0.57","8.8","1.8","0.9","0.8","0.3","0.6","10.6","9.7","11.5","4.7","109.4","116"
"Danilo Gallinari","Det","F","35.7","6","14.9","16","4.3","24","0.875","10","0.5","12","0.583","0.705","0.799","8.7","2.3","2","0.3","0.3","0.2","11","10.7","13","9.2","169.8","112"
"Al Horford","Bos","C-F","37.9","65","26.8","12","10.3","30","0.867","161","0.658","258","0.419","0.64","0.65","8.6","6.4","2.6","0.6","1","0.7","15","11.2","17.6","7.8","134.3","108.4"
"Draymond Green","Gol","F","34.1","55","27.1","15.3","26.6","74","0.73","243","0.551","129","0.395","0.566","0.587","8.6","7.2","6","1","0.9","2.5","15.9","14.7","21.9","10.6","115","104"
"Derrick Jones Jr.","Dal","F","27.2","76","23.5","14.9","11.6","136","0.713","256","0.613","239","0.343","0.566","0.592","8.6","3.3","1","0.7","0.7","0.9","11.9","9.6","12.9","5.2","116","112.9"
"Dorian Finney-Smith","Bro","F","30.9","68","28.5","13.2","10.3","46","0.717","175","0.56","336","0.348","0.535","0.546","8.5","4.7","1.6","0.8","0.6","0.9","13.2","10.1","14.8","5.6","112.8","112.2"
"Gradey Dick","Tor","G","20.4","60","21.1","17.4","10.1","51","0.863","204","0.495","241","0.365","0.524","0.546","8.5","2.2","1.1","0.6","0","0.8","10.7","9.6","11.8","5.2","105.3","116.7"
"Tristan Vukcevic","Was","F","21.1","10","15.3","23.8","12.9","22","0.773","31","0.613","36","0.278","0.507","0.554","8.5","3.6","1.3","0.5","0.7","1","12.1","9.8","13.4","8.9","106.2","102.5"
"Andre Drummond","Chi","C","30.7","79","17.1","21.3","14.4","218","0.592","477","0.56","3","0","0.556","0.576","8.4","9","0.5","0.9","0.6","1","17.4","8.9","17.8","7.9","118","101.3"
"David Roddy","Mem","F","23.1","48","23.2","18.1","12.3","67","0.687","230","0.47","156","0.301","0.462","0.485","8.4","4.2","1.6","0.5","0.2","1.1","12.6","10","14.1","6.6","98.4","112.8"
"Bilal Coulibaly","Was","G","19.7","63","27.2","14.2","16.8","131","0.702","247","0.502","185","0.346","0.509","0.543","8.4","4.1","1.7","0.9","0.8","1.4","12.5","10.2","14.3","5.7","102.6","115.9"
"Miles McBride","Nyk","G","23.6","68","19.5","16.4","6.2","50","0.86","188","0.511","266","0.41","0.572","0.59","8.3","1.5","1.7","0.7","0.1","0.4","9.7","9.9","11.4","5.7","126.2","109.6"
